"[[4.673088073730469, -8.005536079406738, 3.140928030014038], [10.533599853515625, 3.3324480056762695, -0.19152000546455383]]",Pushup
"[[3.868704080581665, -8.580096244812012, 3.217535972595215], [4.979519844055176, 7.009632110595703, -0.15321600437164307]]",Pushup
"[[3.9836161136627197, -8.4268798828125, 3.10262393951416], [6.013728141784668, 6.664896011352539, -0.5745599865913391]]",Pushup
"[[3.9836161136627197, -8.4268798828125, 3.10262393951416], [11.29967975616455, 5.554080009460449, 1.6087679862976074]]",Pushup
"[[3.485663890838623, -9.001440048217773, 3.217535972595215], [4.021920204162598, 8.043840408325195, 0.0]]",Pushup
"[[3.485663890838623, -8.771615982055664, 3.0643200874328613], [11.797632217407227, 7.507584095001221, 1.6087679862976074]]",Pushup
"[[3.523967981338501, -8.120448112487793, 2.7195839881896973], [11.797632217407227, 7.507584095001221, 1.6087679862976074]]",Pushup
"[[2.834496021270752, -9.192959785461426, 3.4090559482574463], [3.9836161136627197, 7.162847995758057, 1.8002879619598389]]",Pushup
"[[3.523967981338501, -8.503487586975098, 3.179231882095337], [6.013728141784668, 7.2011518478393555, -0.49795201420783997]]",Pushup
"[[4.3666558265686035, -7.354368209838867, 2.757888078689575], [11.835935592651367, 3.868704080581665, 1.570464015007019]]",Pushup
"[[3.447360038757324, -8.082143783569336, 2.2599360942840576], [2.451456069946289, 11.797632217407227, 1.1491199731826782]]",Pushup
"[[3.485663890838623, -8.4268798828125, 3.2558400630950928], [12.908448219299316, 9.997344017028809, 0.9959040284156799]]",Pushup
"[[4.175136089324951, -8.235360145568848, 2.9877119064331055], [7.162847995758057, 9.844127655029297, 1.034208059310913]]",Pushup
"[[3.792095899581909, -8.848223686218262, 2.489759922027588], [9.959039688110352, 3.792095899581909, -0.9192960262298584]]",Pushup
"[[3.6005759239196777, -8.273664474487305, 3.140928030014038], [7.852320194244385, 5.822207927703857, 0.6894720196723938]]",Pushup
"[[4.0602240562438965, -8.311967849731445, 2.374847888946533], [9.499391555786133, 3.7537920475006104, -0.15321600437164307]]",Pushup
"[[1.953503966331482, -9.805824279785156, 2.5663681030273438], [1.8768960237503052, 8.809920310974121, 0.5362560153007507]]",Pushup
"[[4.136832237243652, -8.15875244140625, 2.5663681030273438], [8.19705581665039, 6.62659215927124, -0.15321600437164307]]",Pushup
"[[3.140928030014038, -9.231264114379883, 2.489759922027588], [6.779808044433594, 7.622496128082275, 0.19152000546455383]]",Pushup
"[[4.596479892730713, -8.771615982055664, 2.451456069946289], [8.388575553894043, 4.098527908325195, 0.5745599865913391]]",Pushup
"[[2.6046719551086426, -10.342080116271973, 3.4090559482574463], [1.8002879619598389, 9.614303588867188, 0.9192960262298584]]",Pushup
"[[3.792095899581909, -7.890624046325684, 2.7195839881896973], [7.73740816116333, 6.281856060028076, 0.6128640174865723]]",Pushup
"[[2.2599360942840576, -9.53769588470459, 3.0260159969329834], [1.6853760480880737, 10.41868782043457, 1.953503966331482]]",Pushup
"[[2.451456069946289, -9.192959785461426, 3.179231882095337], [8.19705581665039, 6.664896011352539, -2.834496021270752]]",Pushup
"[[4.021920204162598, -9.078047752380371, 2.7195839881896973], [8.388575553894043, 5.477471828460693, 0.26812800765037537]]",Pushup
"[[3.830399990081787, -8.618399620056152, 3.0260159969329834], [8.273664474487305, 4.481567859649658, 0.0]]",Pushup
"[[3.10262393951416, -8.618399620056152, 2.87280011177063], [7.469279766082764, 7.890624046325684, 1.8002879619598389]]",Pushup
"[[3.868704080581665, -7.928927898406982, 2.757888078689575], [5.668992042541504, 6.971327781677246, 0.2298240065574646]]",Pushup
"[[3.140928030014038, -11.0315523147583, 2.489759922027588], [0.15321600437164307, 10.035648345947266, 2.451456069946289]]",Pushup
"[[3.217535972595215, -7.928927898406982, 2.9111039638519287], [0.15321600437164307, 10.035648345947266, 2.451456069946289]]",Pushup
"[[1.6470719575881958, -9.346176147460938, 2.9111039638519287], [4.749695777893066, 9.844127655029297, 2.6812798976898193]]",Pushup
